item_description,assigned_category,rows,net
"Mad VR Envy Extreme Mk3 - HDMI 2.1 video processor with single processed HDMI input and Output and single bypass output. AI powered dynamic tone mapping, scaling, deinterlacing and advanced calibration functions up to 8K60","Services — design, commissioning & support",1,6646.5
PT-FLYTE-IW-B,Speakers,1,6600.0
Sound Isolation Build Guide,"Services — design, commissioning & support",1,6500.0
"FW Madrid design, 2 side walls, no ceiling, 3 pixel LED stripes each side.","Services — design, commissioning & support",1,6480.0
FW frame - RAL 1015 - Ultrasuede XL Cameo - 9665x2930mm,Fabric wall frames & panels,1,6207.59
"Replacement silicon edge fabric panel in black Showtex - All arches, Front wall panels, Panels around door",Fabric wall frames & panels,1,6200.0
25mm Foam Panels - 2000mm x 1000mm,Acoustic Treatment,2,6040.0
FW frame - RAL 1015 - Ultrasuede XL Cameo - 665x2530mm,Fabric wall frames & panels,1,5820.5
Motorised Mirror Drop,Projector Mounts,1,5513.08
Motorised Mirror Drop - Small,Projector Mounts,1,5202.01
"Mask 2s - Side Masking Projection Screen - 2.4:1 Aspect - 135"" / ATStudio - White Knitted Screen Surface - Acoustic Transparent",Masking screens,1,5163.75
DT-MASK-2S-165-ATS,Masking screens,1,5093.09
"Gold tier Professional services including commissioning, assisted installation, and on-site training.","Services — design, commissioning & support",1,5040.0
Sound Isolation Details,"Services — design, commissioning & support",1,5000.0
"Sylvox Cinema Pro 75"" TV OQ75A3KOHK-UK",Displays,1,4749.0
Custom Mirror Unit - In Ceiling Fixed,Projector Mounts,1,4675.0
Ultrasuede XL - 5548 Asphalt,Fabrics,2,4623.66
Mistral Commander - Fan Controller 2 Zone,Airflow,5,4403.84
Frontier - (D#WNZ6LOL),Fixed & specialist screens,1,4394.16
MP5A - Rubber elastomer compound mixed with Barite,Sound Isolation,1,4234.0
MAG Theatron S6 - Black,Speakers,3,4192.23
BARCO EN64 - High Performance - Long Throw Zoom Lens option (2.5 ‑ 4.6),Projectors,1,4062.5
VMM-XL custom mirror,Projector Mounts,1,4022.2
PT-DIW-210,Speakers,1,3960.0
Hush Box - Medium - Left and Rear (L) / 200mm,Hush boxes,1,3884.4
Frontier - (D#89559BR),Fixed & specialist screens,1,3814.2
Frontier - (D#D1CP61I),Fixed & specialist screens,1,3814.2
Leadenhall Audio and Video Calibration,"Services — design, commissioning & support",1,3750.0
Sound Isolation Project Discovery,"Services — design, commissioning & support",1,3750.0
Sound Isolation BOM,"Services — design, commissioning & support",1,3750.0
Technical Architecture Design Package,"Services — design, commissioning & support",1,3750.0
AV Systems Project Discovery,"Services — design, commissioning & support",1,3750.0
"Modular screen wall solution featuring a decoupled framework, Baffle mounting speaker locations and acoustics. Based on dimensions 3,5 x 2,6m",Screen Walls,1,3724.5
DT-FRNT-420 - Size TBC,Fixed & specialist screens,1,3693.83
Akustik + Sylomer® Channel Clip 15,Sound Isolation,1,3685.0
Pro-Fi PF-A-16-700D 16 channels amplifier,Audio Amplifiers,1,3645.88
Front Wall Acoustic Materials,Acoustic Treatment,1,3575.0
EN66 - Ultra Wide Angle Zoom Lens option (0.80-1.21),Projectors,1,3461.25
Replacement Wrapped Aluminium profile cut to length and wrapped for Leadenhall project to PDF -  Leadenhall Replacement Profile Workings,Fabric wall frames & panels,1,3320.0
Ceiling Mount,Projector Mounts,6,3235.56
Custom front for Wisdom soundbar,Speakers,1,3200.0
Hush Box - Small - Left and Rear (L) / 150mm,Hush boxes,1,3178.2
MAG Theatron M8-LR - Black,Speakers,2,3163.48
POET - FM0 Mini Media Server,LED Control and Power,1,3000.0
BAR-FLDX-LENS-S - EN61 - Standard Zoom Lens Option (1.48-2.18) - Adaptor included,Projectors,1,2816.66
MAG Theatron Hammer-12,Speakers,2,2804.31
Aluminium Fabric Frame - (D#1UUL3Y8),Fabric wall frames & panels,1,2794.35
"DT-FRNT-3230-190-ATREF - DT Frontier Screen, 3230mm wide visible, 1.9 aspect, ATRef Image Surface",Image surfaces,1,2649.0
Projector Port Hole (Single Glazed) Custom Size - (D#HQYTU5O),Port holes & glass,1,2557.8
Contempo - (D#KY5WZKM),Fixed & specialist screens,1,2542.8
MAG Theatron CS6 white,Speakers,1,2514.4
Enhanced Design Package,"Services — design, commissioning & support",1,2495.0
Payment for order SR241186,Payments & adjustments,1,2462.93
Frontier - (D#5FZUFE7),Fixed & specialist screens,1,2331.0
Frontier - (D#Q5FW0U8),Fixed & specialist screens,1,2331.0
MAG Theatron S4 - Black,Speakers,2,2259.65
Technical Architecture Project Discovery,"Services — design, commissioning & support",1,2250.0
DT-CNTP-330 - Contempo - W3260 x H1830 viewing area - ATStudio,Fixed & specialist screens,1,2225.4
Barco Thor Annual Service - Parts and Labour,"Services — design, commissioning & support",1,2162.0
Supply of fabric only for ceiling,Fabric wall frames & panels,1,2129.0
Enhanced Cinema Interior Design Package,"Services — design, commissioning & support",1,2103.54
Fabric Walls - Aluminium Frame System - Black Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite - 875 x 2000 mm,Fabric wall frames & panels,1,2086.4
MAG Theatron Hammer-15,Speakers,1,2040.0
DT-ENT-HB for JVC NZ700,Hush boxes,1,1876.77
20% Rush fee for the Hush Boxes,Surcharges,1,1836.24
Additional Charges for Second Visit,Surcharges,1,1715.0
MAG Theatron CS-44 - Black,Speakers,1,1709.78
Ultrasuede XL - 5540 Steel Gray,Fabrics,1,1681.02
FW frame - RAL 1015 - Ultrasuede XL Cameo - 942x2460mm,Fabric wall frames & panels,1,1662.85
Commissioning Support - SRND Display Products,"Services — design, commissioning & support",2,1625.0
MAG Theatron M8-C - Black,Speakers,2,1581.74
MAG Theatron Slim-100 subwoofer,Speakers,1,1508.64
20MOTD Fabric Track - 10,Fabric track,1,1496.0
Extra fabric and LED lines,Fabric wall frames & panels,1,1472.03
Aluminium Fabric Frame - (D#FIW9Q7X),Fabric wall frames & panels,1,1469.62
"LW-MICRO-SRND - Micro Media Server for Lightwalls - Dual LAN, 16GB RAM",LED Control and Power,1,1462.5
Acoustic Panels - Front Wall - Kilbrummy,Acoustic Treatment,1,1462.5
DT-HBO-VM Mirror module for HB-M,Hush boxes,1,1412.4
Custom Front Wall Panels for Herriot Row with grill detail as agreed.,Acoustic Treatment,1,1400.0
MAG Theatron TDC-3200w Amplifier,Audio Amplifiers,1,1389.71
Pro-Fi PF-A-4-350D 4 channels amplifier,Audio Amplifiers,1,1382.92
"Micro Media Server for Light Jams by SRND - Dual LAN, 16GB RAM",LED Control and Power,1,1316.25
"Outline Fixed Projection Screen - 16:9 Aspect - 100"" / ImageGrey - Solid Grey Screen Surface - High Contrast",Fixed & specialist screens,1,1312.5
50MOTD Fabric Track - 10,Fabric track,4,1303.05
FW frame - RAL 1015 - Ultrasuede XL Cameo - 620x2040mm,Fabric wall frames & panels,1,1225.88
35mm x 35mm Surface Mount Profile - Black Anodised Profile - Black Diffusor up to 2m - Populated with 12v RGBW Pro Pixel LED and Terminated with Tails,LED Tape,1,1215.0
C-ATS - 25mm Acoustic Foam Sheet 1m x 1m,Acoustic Treatment,1,1200.0
DCB Flyte-BK - 5.25-inch Flyte Speaker - Black,Speakers,1,1200.0
Aluminium Fabric Frame - (D#2A32UZ3),Fabric wall frames & panels,1,1189.32
FW frame - RAL 1015 - Ultrasuede XL Cameo - 4860x682mm,Fabric wall frames & panels,1,1168.92
ILD6 - Standard Zoom Lens Option (1.40-2.10),Projectors,1,1162.5
SRND - Labour and travel expenses linked to installation,"Services — design, commissioning & support",1,1150.0
Aluminium Fabric Frame - (D#PY5IGU5),Fabric wall frames & panels,1,1130.12
Aluminium Fabric Frame - (D#3OQWUYQ),Fabric wall frames & panels,1,1037.78
FW frame - RAL 1015 - Ultrasuede XL Cameo - 4700x490mm,Fabric wall frames & panels,1,1037.18
Surface Mount 35mm x 35mm LED Profile - 2m / Black / Black,LED Profile,1,1029.12
CS6 Custom Isolation Bracket,Sound Isolation,1,1000.0
CS44 Custom Isolation Bracket,Sound Isolation,1,1000.0
Pixel LED Tape - 12v RGBW - SRND Store Pixel LED Tape - 12v RGBW LW-LP-LED-12V-RGBW,LED Tape,1,991.44
Additional Charge for Urgent Delivery on original 25mm panels,Surcharges,1,960.0
FW frame - RAL 1015 - Ultrasuede XL Cameo - 4860x382mm,Fabric wall frames & panels,1,957.54
FW frame - RAL 1015 - Ultrasuede XL Cameo - 275x1866mm,Fabric wall frames & panels,1,916.33
MAG Theatron M12-L,Speakers,1,905.18
MAG Theatron M12-C,Speakers,1,905.18
MAG Theatron M12-R,Speakers,1,905.18
DT-IS-R-ATS-360: image size 350x200cm,Image surfaces,1,883.0
MADVR Envy Core premium licence,Video Processors,1,855.0
Aluminium Fabric Frame - (D#YVIA9P6),Fabric wall frames & panels,1,854.23
Advatek T8,LED Control and Power,1,850.0
Fabric Walls Tool - Set,Tools,3,838.42
SRND Reference Audio Calibration Services,"Services — design, commissioning & support",1,838.14
6mm Optical Clear Glass,Port holes & glass,1,828.0
MAG Theatron Slim 110 black,Speakers,1,823.13
DHL road shipping - Incoterms: DAP,Shipping,1,816.53
Fabric Walls - Aluminium Frame System - Custom RAL Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite Fondness - 1717 x 1524 mm,Fabric wall frames & panels,1,803.21
Aluminium Fabric Frame - (D#TGEQ0A5),Fabric wall frames & panels,1,796.39
Fabric Walls - Aluminium Frame System - Custom RAL Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite Fondness - 1669 x 1522 mm,Fabric wall frames & panels,1,789.48
RGBW 16 bits 60/20 LEDs M 12V 5M - 300 LEDs - For outdoors,LED Tape,1,765.0
Redesign of Custom HB,"Services — design, commissioning & support",1,764.13
Fabric Walls - Aluminium Frame System - Custom RAL Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite Fondness - 1529 x 1522 mm,Fabric wall frames & panels,1,751.16
Fabric Walls - Aluminium Frame System - Custom RAL Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite Fondness - 1526 x 1523 mm,Fabric wall frames & panels,1,750.61
LW-LAYOUT-R - Lightwalls pixel layout for one rectangular room up to 64 DMX Universes,"Services — design, commissioning & support",1,750.0
M12 Custom Isolation Bracket,Sound Isolation,1,750.0
H12 Custom Isolation Bracket,Sound Isolation,1,750.0
Fabric Walls - Aluminium Frame System - Custom RAL Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite Fondness - 1523 x 1521 mm,Fabric wall frames & panels,1,749.24
Fabric Walls - Aluminium Frame System - Custom RAL Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite Fondness - 1520 x 1523 mm,Fabric wall frames & panels,1,748.97
Fabric Walls - Aluminium Frame System - Custom RAL Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite Fondness - 1512 x 1523 mm,Fabric wall frames & panels,1,746.78
Fabric Walls - Aluminium Frame System - Custom RAL Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite Fondness - 1509 x 1522 mm,Fabric wall frames & panels,1,745.69
Fabric Walls - Aluminium Frame System - Custom RAL Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite Fondness - 1510 x 1520 mm,Fabric wall frames & panels,1,745.42
Fabric Walls - Aluminium Frame System - Custom RAL Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite Fondness - 1507 x 1522 mm,Fabric wall frames & panels,1,745.14
PhaseTech CI120,Speakers,1,720.0
Aluminium Fabric Frame - (D#AL8UA2H),Fabric wall frames & panels,1,699.57
Aluminium Fabric Frame - (D#ZP3KUIY),Fabric wall frames & panels,1,696.54
MAGT-WMT-20 wall mount,Speakers,1,679.85
PHG-1-C glass only 809 x 187mm,Port holes & glass,1,667.22
EP 500+Sylomer s35,Sound Isolation,1,663.75
Linear actuator - 300mm extension - 750N peak load,Projector Mounts,1,661.58
Stereolabs - ZED 2i Stereo Camera,Sensors,1,648.7
Aluminium Fabric Frame - (D#3AC0974),Fabric wall frames & panels,1,645.55
Aura Flex AT (Diffusion Fabric),Fabrics,1,642.6
10COTD Fabric Track - 10,Fabric track,2,612.0
DT-IS-R-ATR-390 - 370 wide in 2.37 - no silicon edge,Image surfaces,1,600.65
PhaseTech CI7.3x,Speakers,1,540.0
"Replacment Dual Actuator V3 Controller - IP, RS232, 2v",Screen accessories,1,537.65
ATStudio Screen Surface - Screen 3450mm x 2000mm,Image surfaces,1,529.8
S6 Custom Isolation Bracket,Sound Isolation,1,500.0
S-110 Custom Isolation Mount,Sound Isolation,1,500.0
35x35 surface mount LED profile - Opal diffuser - up to 3m,LED Profile,1,487.55
LW-PSU-MW-12V-350W PSU 12V 350W,LED Control and Power,1,485.44
RAL 1015 colour matching for LED profiles,LED Profile,1,483.68
DT-S-TENSION - Replacement Tension bands for DYN-2S-2339-2.37,Screen accessories,1,480.0
Fabric Walls - Aluminium Frame System - Black Powder coat Finish 32mm deep frame with mounting hardware. Silicon edge CNC cut Fabric Surface - Camira Blazer Lite - 2864 x 300 mm,Fabric wall frames & panels,1,468.0
MAG Theatron WMT-20 wall mount,Speakers,1,444.49
Aluminium Fabric Frame - (D#01H9EL3),Fabric wall frames & panels,1,439.97
DT-IS-ATP-330 (image size: 3190mm wide x 1792mm high),Image surfaces,1,424.2
Dynamic Commander,Screen accessories,1,407.36
Aluminium Fabric Frame - (D#8KZGWEB),Fabric wall frames & panels,1,401.05
Ultrasuede US-XL-5206-GINGER,Fabrics,1,382.05
Penetration Isolation Back Box - 270mm x 400mm,Sound Isolation,1,378.0
50MOCL Fabric Track - 10,Fabric track,1,372.3
2 x 40W - 1 x80W Compact DSP Amplifier - Dante Input - POE - For distributed applications,Audio Amplifiers,1,367.2
PHG-1-C Glass only 250x300x6mm,Port holes & glass,1,360.0
DT-IS-ATP-300 (image size: 2895mm wide x 1607mm high),Image surfaces,1,353.4
HDMI to USB vLight Interface,LED Control and Power,2,306.0
DT black backing for 370 image 2.37,Image surfaces,1,305.78
FW frame - RAL 1015 - Ultrasuede XL Cameo - 561x1000mm,Fabric wall frames & panels,1,297.63
FW frame - RAL 1015 - Ultrasuede XL Cameo - 561x899mm,Fabric wall frames & panels,1,290.03
Meanwell 12V - 350w (UHP-350-12),LED Control and Power,2,288.0
LWLM Lighting Content and Control Software -  Up to 12 DMX Universes - Perpetual License,LED Control and Power,1,281.25
Tension Band Set for Dynamic Mask Screen - 7167mm Wide,Screen accessories,1,280.0
Aluminium Fabric Frame - (D#31MJWYE),Fabric wall frames & panels,1,259.4
LW-PSU-MW-12V-350W - Meanwell 12V - 350w (UHP-350-12),LED Control and Power,1,252.0
DT custom porthole glass only - 240 x 200 x 6mm,Port holes & glass,1,247.83
Tension bands kit for DYN-2S-510,Screen accessories,1,244.8
DT Dynamic tension bands kit (2 units),Screen accessories,1,244.38
Dynamic Masking Screen - Tension Bands,Screen accessories,2,240.0
Set Of tension bands for Dynamic 2S SN1534,Screen accessories,1,240.0
DT Dynamic tension bands,Screen accessories,1,240.0
Custom colour RAL#T243-GR522,Finishes & colour,1,237.92
LW-ENG-SOFT-CONFIG  Software configuration and onsite help (Per Hour),"Services — design, commissioning & support",1,228.17
Fabric Walls Tool - Rocker,Tools,1,204.7
10COCL Fabric Track - 10,Fabric track,1,204.0
10MOTD Fabric Track Black - 10,Fabric track,1,204.0
Set ofTension Bands for Dynamic 2S-AM 4500,Screen accessories,1,200.0
Dynamic Masking Motors,Screen accessories,1,200.0
DT Mini Frontier screen with 6 interchageable image surfaces and black backing,Image surfaces,1,200.0
Aluminium Fabric Frame - (D#2PZ61M7),Fabric wall frames & panels,1,189.22
Aluminium Fabric Frame - (D#MWQ5VC1),Fabric wall frames & panels,1,183.91
SRND - International Express DHL shipping,Shipping,1,177.45
DAP Express shipping DHL,Shipping,1,176.71
MAGT-WMT-12D wall mount,Speakers,1,174.32
DHL shipping,Shipping,1,155.41
RAL 5009 colour,Finishes & colour,1,150.0
LJ perpetual license - 4 universes,LED Control and Power,1,135.0
Dynamic 2S tension bands set of 2,Screen accessories,1,120.0
DT tension bands for DYN-2TB-3556-1.78 (1 pair),Screen accessories,1,120.0
Dynamic Masking Screen - Tension Bands - DYN-2S-410,Screen accessories,1,120.0
Masking Screen - Tension Bands - DT-DYN-2S-360,Screen accessories,1,120.0
Custom sized glass - Optical glass panel 15x15 cm (6mm thickness),Port holes & glass,1,112.97
Shipping from NL,Shipping,1,103.21
Shipping DHL DAP,Shipping,1,100.17
Dynamic tension bands set,Screen accessories,1,100.0
DT-ISO-AKU3 - 50mm acoustic isolator for DT-CM,Projector Mounts,1,100.0
Fabric Walls Tool - Bent Blade,Tools,1,85.0
Extra for the wrapped profiles,Surcharges,1,75.0
Black Downward Illumination Stair & Step Aluminium LED Profile - Front 3635mm Side 1930mm,LED Profile,1,22.09
Ultrasuede LX - CA5 - Ivory,Fabrics,1,21.87
Ultrasuede XL 1509 Cameo large sample,Fabric samples,2,10.0
Ultrasuede XL sample - 1544 Aluminium,Fabric samples,1,5.0
Ultrasuede XL sample - 1545 Silver Gray,Fabric samples,1,5.0
Ultrasuede XL sample - 3541 Gray Mist,Fabric samples,1,5.0
Ultrasuede XL sample - 5540 Steel Gray,Fabric samples,1,5.0
Ultrasuede XL sample - 5548 Asphalt,Fabric samples,1,5.0
Ultrasuede XL sample - 5788 Charcoal,Fabric samples,1,5.0
"Advatek DIN Rail Mount Kit (suits R2F-S, R4D-S, E4-S, E16-S)",LED Control and Power,1,2.91
Shipping refund,Shipping,1,-300.0
Refund Discrepancy,Payments & adjustments,1,-1928.79
10915 Installation Support Services (DAY) - No Restock Item,"Services — design, commissioning & support",1,-3200.0
Acusti Cubes - (Screen Wall) Prepaid,Payments & adjustments,1,-3575.0
madVR Envy Core - No Restock Item,Video Processors,1,-3791.08
Payment Received - Screen Wall,Payments & adjustments,1,-9603.38
